Order ID,Order Date,Ship Date,Shipping ID,Customer ID,Postal Code ID,Product ID,Shipping Duration,Sales,Quantity,Discount,Profit,Regional Sales Manager ID
CA-2017-167927,20/01/2017,26/01/2017,4,XP-21865,266,OFF-ST-10000760,6,13.98,1,0%,4.05,3
US-2017-147627,20/01/2017,26/01/2017,4,HL-15040,387,TEC-PH-10001061,6,699.93,7,0%,181.98,4
US-2017-147627,20/01/2017,26/01/2017,4,HL-15040,387,OFF-AR-10002375,6,22.96,7,0%,6.66,4
CA-2017-167927,20/01/2017,26/01/2017,4,XP-21865,266,OFF-AP-10002311,6,247.72,4,10%,93.58,3
US-2017-147774,20/01/2017,26/01/2017,4,MM-18280,197,OFF-BI-10003091,6,67.19,1,70%,-51.52,4
US-2017-147627,20/01/2017,26/01/2017,4,HL-15040,387,OFF-AR-10003811,6,6.63,3,0%,1.79,4
CA-2017-148614,20/01/2017,25/01/2017,4,MV-17485,520,OFF-PA-10002893,5,19.36,2,0%,9.29,1
CA-2017-148614,20/01/2017,25/01/2017,4,MV-17485,520,FUR-FU-10003194,5,19.3,2,0%,5.79,1
CA-2017-167927,20/01/2017,26/01/2017,4,XP-21865,266,OFF-ST-10003123,6,66.58,2,0%,15.98,3
US-2017-147627,20/01/2017,26/01/2017,4,HL-15040,387,OFF-EN-10001539,6,23.34,3,0%,10.97,4
US-2017-147627,20/01/2017,26/01/2017,4,HL-15040,387,FUR-CH-10002331,6,"1,067.94",3,0%,224.27,4
CA-2017-167927,20/01/2017,26/01/2017,4,XP-21865,266,FUR-FU-10002918,6,272.94,3,0%,30.02,3
CA-2017-167927,20/01/2017,26/01/2017,4,XP-21865,266,OFF-AR-10004456,6,43.92,3,0%,12.74,3
CA-2017-167927,20/01/2017,26/01/2017,4,XP-21865,266,FUR-FU-10002268,6,14.73,3,0%,4.86,3
CA-2017-167927,20/01/2017,26/01/2017,4,XP-21865,266,OFF-BI-10000605,6,19.05,5,0%,8.95,3
CA-2017-167927,20/01/2017,26/01/2017,4,XP-21865,266,OFF-BI-10004364,6,29.7,5,0%,13.37,3
CA-2017-110422,21/01/2017,23/01/2017,3,TB-21400,170,FUR-FU-10001889,2,25.25,3,20%,4.1,4
CA-2017-102645,23/01/2017,28/01/2017,4,IM-15055,512,OFF-PA-10001804,5,40.08,6,0%,19.24,1
CA-2017-146997,23/01/2017,27/01/2017,4,SG-20605,257,OFF-FA-10003467,4,5.94,3,0%,0,3
US-2017-155502,26/01/2017,31/01/2017,4,SD-20485,98,FUR-FU-10001847,5,12.42,3,0%,4.47,4
US-2017-155502,26/01/2017,31/01/2017,4,SD-20485,98,TEC-PH-10004833,5,155.35,13,0%,0,4
US-2017-155502,26/01/2017,31/01/2017,4,SD-20485,98,OFF-PA-10000380,5,16.68,2,0%,8.34,4
US-2017-155502,26/01/2017,31/01/2017,4,SD-20485,98,TEC-PH-10002103,5,187.98,2,0%,52.63,4
US-2017-155502,26/01/2017,31/01/2017,4,SD-20485,98,FUR-FU-10004587,5,62.82,3,0%,30.78,4
US-2017-155502,26/01/2017,31/01/2017,4,SD-20485,98,OFF-PA-10003072,5,19.44,3,0%,9.33,4
US-2017-155502,26/01/2017,31/01/2017,4,SD-20485,98,OFF-ST-10004337,5,489.92,8,0%,0,4
CA-2017-167997,26/01/2017,29/01/2017,1,CA-11965,317,OFF-BI-10001758,3,10.68,2,0%,5.02,3
CA-2017-167997,26/01/2017,29/01/2017,1,CA-11965,317,FUR-BO-10004409,3,141.96,2,0%,39.75,3
US-2017-117163,27/01/2017,02/02/2017,4,EJ-13720,542,OFF-AR-10003179,6,36.44,4,0%,12.03,1
US-2017-117163,27/01/2017,02/02/2017,4,EJ-13720,542,OFF-ST-10003692,6,57.23,1,0%,14.31,1
US-2017-117163,27/01/2017,02/02/2017,4,EJ-13720,542,FUR-TA-10003469,6,333,3,20%,-16.65,1
CA-2017-100328,28/01/2017,03/02/2017,4,JC-15340,55,OFF-BI-10000343,6,3.93,1,20%,1.33,2
CA-2017-134103,30/01/2017,04/02/2017,4,MV-18190,270,OFF-ST-10000991,5,229.94,2,0%,6.9,3
CA-2017-134103,30/01/2017,04/02/2017,4,MV-18190,270,OFF-PA-10001204,5,10.56,2,0%,4.75,3
CA-2017-115161,31/01/2017,02/02/2017,1,LC-17050,563,FUR-BO-10003966,2,290.67,2,15%,3.42,1
CA-2017-140795,01/02/2017,03/02/2017,1,BD-11500,296,TEC-AC-10001432,2,468.9,6,0%,206.32,3
CA-2017-139857,02/02/2017,06/02/2017,4,CD-12790,542,OFF-FA-10001843,4,12.35,5,0%,5.8,1
CA-2017-123400,02/02/2017,09/02/2017,4,EB-13930,180,TEC-PH-10002890,7,180.96,5,20%,13.57,4
CA-2017-123400,02/02/2017,09/02/2017,4,EB-13930,180,OFF-BI-10000666,7,18.34,2,70%,-12.22,4
CA-2017-111059,03/02/2017,06/02/2017,3,TB-21400,622,OFF-BI-10004593,3,83.84,2,20%,27.25,1
CA-2017-111059,03/02/2017,06/02/2017,3,TB-21400,622,OFF-BI-10002827,3,13.27,3,20%,4.31,1
CA-2017-107181,04/02/2017,08/02/2017,4,DB-13270,540,OFF-PA-10000350,4,34.24,4,0%,16.09,1
CA-2017-104808,04/02/2017,08/02/2017,3,MH-17440,541,OFF-BI-10003676,4,17.25,2,20%,6.04,1
CA-2017-107181,04/02/2017,08/02/2017,4,DB-13270,540,OFF-BI-10004230,4,82.9,3,20%,29.01,1
CA-2017-131905,06/02/2017,09/02/2017,1,ND-18460,103,OFF-LA-10002787,3,15,4,0%,7.2,4
CA-2017-131905,06/02/2017,09/02/2017,1,ND-18460,103,TEC-PH-10003645,3,161.61,1,0%,42.02,4
CA-2017-131905,06/02/2017,09/02/2017,1,ND-18460,103,TEC-PH-10001615,3,144.95,5,0%,42.04,4
CA-2017-108182,06/02/2017,10/02/2017,3,DL-13315,341,OFF-BI-10001196,4,8.95,2,80%,-14.77,3
US-2017-169390,07/02/2017,10/02/2017,3,CS-12250,55,OFF-ST-10001558,3,64.96,4,0%,9.74,2
CA-2017-107755,07/02/2017,12/02/2017,4,CK-12760,38,TEC-AC-10000710,5,115.36,7,0%,49.6,2
CA-2017-125759,08/02/2017,09/02/2017,1,NM-18445,511,FUR-FU-10002111,1,14.56,2,0%,5.53,1
CA-2017-127614,11/02/2017,15/02/2017,4,NF-18385,103,OFF-BI-10003291,4,17.46,2,0%,8.21,4
CA-2017-127614,11/02/2017,15/02/2017,4,NF-18385,103,TEC-AC-10001432,4,234.45,3,0%,103.16,4
CA-2017-127614,11/02/2017,15/02/2017,4,NF-18385,103,FUR-TA-10003715,4,"1,256.22",6,0%,75.37,4
CA-2017-168368,11/02/2017,15/02/2017,3,GA-14725,366,FUR-CH-10001146,4,60.89,1,0%,15.22,3
CA-2017-168368,11/02/2017,15/02/2017,3,GA-14725,366,OFF-LA-10004853,4,14.94,3,0%,6.87,3
CA-2017-168368,11/02/2017,15/02/2017,3,GA-14725,366,OFF-BI-10004728,4,9.64,2,0%,4.43,3
CA-2017-168368,11/02/2017,15/02/2017,3,GA-14725,366,OFF-BI-10004654,4,51.9,3,0%,24.39,3
CA-2017-168368,11/02/2017,15/02/2017,3,GA-14725,366,OFF-ST-10002583,4,64.96,2,0%,2.6,3
CA-2017-168368,11/02/2017,15/02/2017,3,GA-14725,366,FUR-FU-10002298,4,332.94,3,0%,53.27,3
US-2017-110674,12/02/2017,18/02/2017,4,SC-20095,584,FUR-CH-10000225,6,129.57,2,20%,-24.29,1
CA-2017-121762,14/02/2017,18/02/2017,4,ML-17395,621,OFF-AP-10001293,4,81.96,2,0%,22.95,1
CA-2017-121762,14/02/2017,18/02/2017,4,ML-17395,621,OFF-SU-10000157,4,238.62,2,0%,4.77,1
CA-2017-121762,14/02/2017,18/02/2017,4,ML-17395,621,TEC-AC-10000736,4,239.97,3,0%,86.39,1
CA-2017-107706,14/02/2017,19/02/2017,3,ST-20530,426,OFF-PA-10000466,5,16.18,3,20%,6.07,3
CA-2017-165568,15/02/2017,19/02/2017,4,BF-11020,622,OFF-BI-10001031,4,21.36,5,20%,7.21,1
CA-2017-122567,16/02/2017,21/02/2017,4,MN-17935,412,OFF-BI-10002012,5,1.08,3,80%,-1.73,3
CA-2017-122567,16/02/2017,21/02/2017,4,MN-17935,412,OFF-AP-10001303,5,7.96,2,80%,-13.93,3
CA-2017-154165,17/02/2017,24/02/2017,4,DL-13315,349,OFF-AR-10003631,7,54.21,14,20%,8.81,3
CA-2017-152905,18/02/2017,24/02/2017,4,AB-10015,414,OFF-ST-10000321,6,12.62,2,20%,-2.52,3
US-2017-165589,18/02/2017,18/02/2017,2,TB-21595,453,FUR-FU-10002396,0,25.16,5,60%,-11.32,3
CA-2017-109491,20/02/2017,26/02/2017,4,LC-16930,255,FUR-FU-10000221,6,20.32,4,0%,6.91,3
CA-2017-164903,20/02/2017,24/02/2017,4,SR-20740,520,OFF-PA-10003363,4,12.96,2,0%,6.22,1
CA-2017-109491,20/02/2017,26/02/2017,4,LC-16930,255,TEC-AC-10001284,6,62.31,3,0%,22.43,3
CA-2017-165540,21/02/2017,25/02/2017,4,TM-21010,333,OFF-BI-10004094,4,8.85,5,80%,-13.72,3
CA-2017-133354,22/02/2017,24/02/2017,1,SA-20830,554,OFF-PA-10001800,2,19.44,3,0%,9.33,1
CA-2017-103744,23/02/2017,27/02/2017,4,MG-17875,456,OFF-LA-10004425,4,6.94,3,20%,2.34,3
CA-2017-103744,23/02/2017,27/02/2017,4,MG-17875,456,OFF-BI-10000320,4,4.43,3,80%,-6.86,3
US-2017-137680,24/02/2017,02/03/2017,4,JH-15430,612,OFF-PA-10000174,6,32.9,4,20%,11.1,1
US-2017-137680,24/02/2017,02/03/2017,4,JH-15430,612,OFF-PA-10000069,6,22.78,3,20%,7.69,1
CA-2017-156545,27/02/2017,03/03/2017,1,JS-16030,223,OFF-AR-10003560,4,19.46,4,20%,3.4,2
CA-2017-131009,01/03/2017,05/03/2017,4,SC-20380,456,FUR-CH-10001270,4,362.25,6,30%,0,3
CA-2017-104269,01/03/2017,06/03/2017,3,DB-13060,623,FUR-CH-10004063,5,457.57,2,20%,51.48,1
US-2017-143707,01/03/2017,05/03/2017,4,HR-14770,56,TEC-PH-10003655,4,5.94,3,0%,1.6,2
CA-2017-131009,01/03/2017,05/03/2017,4,SC-20380,456,OFF-FA-10004395,4,18.84,5,20%,-3.53,3
CA-2017-113880,01/03/2017,05/03/2017,4,VF-21715,334,OFF-PA-10003036,4,17.47,3,20%,5.68,3
CA-2017-131009,01/03/2017,05/03/2017,4,SC-20380,456,OFF-ST-10001469,4,129.55,3,20%,-22.67,3
CA-2017-113880,01/03/2017,05/03/2017,4,VF-21715,334,FUR-CH-10000863,4,634.12,6,30%,-172.12,3
CA-2017-168312,01/03/2017,07/03/2017,4,GW-14605,423,OFF-ST-10003692,6,137.35,3,20%,8.58,3
CA-2017-131009,01/03/2017,05/03/2017,4,SC-20380,456,FUR-FU-10001095,4,63.55,6,60%,-34.95,3
CA-2017-168312,01/03/2017,07/03/2017,4,GW-14605,423,FUR-TA-10001866,6,376.51,3,30%,-43.03,3
CA-2017-107524,02/03/2017,08/03/2017,4,KN-16705,53,OFF-EN-10001990,6,11.36,2,0%,5.34,2
CA-2017-107524,02/03/2017,08/03/2017,4,KN-16705,53,OFF-PA-10000587,6,36.4,5,0%,17.47,2
CA-2017-111157,02/03/2017,06/03/2017,4,NH-18610,80,OFF-PA-10000327,4,3.42,1,20%,1.07,2
CA-2017-111157,02/03/2017,06/03/2017,4,NH-18610,80,TEC-AC-10004353,4,151.2,3,20%,32.13,2
CA-2017-155852,03/03/2017,07/03/2017,3,AJ-10945,125,OFF-AR-10003560,4,19.46,4,20%,3.4,4
CA-2017-127964,03/03/2017,08/03/2017,4,AP-10720,56,TEC-PH-10004700,5,9.99,1,0%,4.6,2
CA-2017-127964,03/03/2017,08/03/2017,4,AP-10720,56,OFF-BI-10003429,5,25.32,5,20%,9.18,2
US-2017-127978,03/03/2017,08/03/2017,4,JS-15595,223,OFF-ST-10002486,5,44.67,8,20%,-10.05,2
CA-2017-127964,03/03/2017,08/03/2017,4,AP-10720,56,OFF-BI-10004593,5,125.76,3,20%,40.87,2
US-2017-127978,03/03/2017,08/03/2017,4,JS-15595,223,OFF-LA-10000305,5,15.12,3,20%,4.91,2
CA-2017-105648,03/03/2017,07/03/2017,4,EJ-14155,542,FUR-TA-10002958,4,626.35,3,20%,-23.49,1
CA-2017-130421,03/03/2017,07/03/2017,4,SC-20020,426,OFF-AP-10002534,4,176.77,3,80%,-459.61,3
US-2017-127978,03/03/2017,08/03/2017,4,JS-15595,223,FUR-BO-10001972,5,302.45,5,50%,-199.62,2
CA-2017-116239,04/03/2017,04/03/2017,2,CL-12565,129,OFF-ST-10001370,0,354.9,5,0%,17.75,4
CA-2017-117016,04/03/2017,09/03/2017,4,SC-20095,163,OFF-AR-10001374,5,15.55,3,20%,2.33,4
CA-2017-169061,05/03/2017,08/03/2017,3,AB-10150,58,OFF-AR-10000588,3,59.52,3,0%,15.48,2
CA-2017-169061,05/03/2017,08/03/2017,3,AB-10150,58,TEC-AC-10002001,3,479.97,3,0%,177.59,2
CA-2017-169061,05/03/2017,08/03/2017,3,AB-10150,58,OFF-SU-10000381,3,18.62,2,0%,5.4,2
CA-2017-169061,05/03/2017,08/03/2017,3,AB-10150,58,OFF-PA-10001878,3,97.82,2,0%,45.98,2
CA-2017-169061,05/03/2017,08/03/2017,3,AB-10150,58,OFF-BI-10001617,3,49.63,6,20%,16.75,2
CA-2017-104563,07/03/2017,12/03/2017,4,CM-12715,621,OFF-AR-10000390,5,20.65,5,0%,9.5,1
CA-2017-104563,07/03/2017,12/03/2017,4,CM-12715,621,OFF-ST-10000934,5,204.9,5,0%,0,1
CA-2017-156587,07/03/2017,08/03/2017,1,AB-10015,621,OFF-AR-10001427,1,17.94,3,0%,4.66,1
CA-2017-156587,07/03/2017,08/03/2017,1,AB-10015,621,OFF-ST-10002344,1,242.94,3,0%,4.86,1
US-2017-131982,07/03/2017,11/03/2017,3,NP-18685,624,OFF-BI-10004224,4,107.65,2,20%,33.64,1
CA-2017-156587,07/03/2017,08/03/2017,1,AB-10015,621,FUR-CH-10004477,1,48.71,1,20%,5.48,1
CA-2017-104563,07/03/2017,12/03/2017,4,CM-12715,621,FUR-CH-10002780,5,436.7,6,20%,21.84,1
CA-2017-104563,07/03/2017,12/03/2017,4,CM-12715,621,FUR-CH-10004495,5,481.57,2,20%,54.18,1
US-2017-100279,10/03/2017,14/03/2017,4,SW-20275,259,OFF-PA-10002259,4,22.38,2,0%,10.74,3
US-2017-140116,10/03/2017,17/03/2017,4,KT-16480,465,OFF-ST-10000078,7,636.41,3,20%,-15.91,1
US-2017-140116,10/03/2017,17/03/2017,4,KT-16480,465,OFF-AR-10001044,7,83.17,4,20%,9.36,1
CA-2017-114790,11/03/2017,13/03/2017,3,FM-14215,213,OFF-AP-10002578,2,146.76,3,0%,38.16,4
CA-2017-114790,11/03/2017,13/03/2017,3,FM-14215,213,TEC-PH-10000984,2,587.97,3,0%,164.63,4
CA-2017-114790,11/03/2017,13/03/2017,3,FM-14215,213,OFF-PA-10000213,2,14.94,3,0%,7.02,4
CA-2017-166884,11/03/2017,16/03/2017,3,CK-12205,223,FUR-FU-10003981,5,8.32,5,20%,2.29,2
CA-2017-166884,11/03/2017,16/03/2017,3,CK-12205,223,OFF-FA-10001561,5,10.46,6,20%,1.7,2
CA-2017-114790,11/03/2017,13/03/2017,3,FM-14215,213,TEC-AC-10000710,2,32.96,2,0%,14.17,4
US-2017-103338,11/03/2017,15/03/2017,4,RB-19435,599,OFF-AR-10001770,4,7.98,3,0%,2.07,1
CA-2017-158337,11/03/2017,14/03/2017,3,KA-16525,55,OFF-PA-10002137,3,108.92,14,0%,49.01,2
CA-2017-157623,14/03/2017,18/03/2017,4,DK-13225,559,OFF-PA-10001204,4,10.56,2,0%,4.75,1
CA-2017-157623,14/03/2017,18/03/2017,4,DK-13225,559,OFF-AR-10003723,4,3.38,1,0%,1.25,1
CA-2017-114510,14/03/2017,19/03/2017,4,JF-15295,488,TEC-AC-10004877,5,82.8,12,0%,6.62,1
CA-2017-114510,14/03/2017,19/03/2017,4,JF-15295,488,OFF-ST-10000736,5,80.98,1,0%,3.24,1
US-2017-125521,14/03/2017,19/03/2017,4,CK-12325,103,FUR-CH-10003379,5,"1,139.92",4,0%,284.98,4
CA-2017-114510,14/03/2017,19/03/2017,4,JF-15295,488,OFF-ST-10003221,5,21.36,2,0%,5.77,1
CA-2017-152618,14/03/2017,17/03/2017,1,RB-19465,349,OFF-PA-10001215,3,8.45,2,20%,2.64,3
CA-2017-114510,14/03/2017,19/03/2017,4,JF-15295,488,OFF-BI-10001617,5,33.09,4,20%,11.17,1
CA-2017-114510,14/03/2017,19/03/2017,4,JF-15295,488,OFF-BI-10003007,5,62.05,2,20%,20.17,1
CA-2017-100293,14/03/2017,18/03/2017,4,NF-18475,150,OFF-PA-10000176,4,91.06,6,20%,31.87,4
CA-2017-152618,14/03/2017,17/03/2017,1,RB-19465,349,TEC-MA-10003626,3,574.91,2,30%,156.05,3
CA-2017-149958,15/03/2017,19/03/2017,4,AS-10240,179,OFF-PA-10002120,4,131.9,3,20%,47.82,4
CA-2017-149958,15/03/2017,19/03/2017,4,AS-10240,179,OFF-ST-10001490,4,142.78,1,20%,17.85,4
CA-2017-149958,15/03/2017,19/03/2017,4,AS-10240,179,FUR-FU-10001756,4,45.7,3,20%,5.14,4
CA-2017-149958,15/03/2017,19/03/2017,4,AS-10240,179,OFF-BI-10000773,4,7.22,3,70%,-5.53,4
CA-2017-149958,15/03/2017,19/03/2017,4,AS-10240,179,OFF-BI-10001543,4,43.19,4,70%,-31.67,4
CA-2017-157609,16/03/2017,21/03/2017,3,KN-16705,116,TEC-PH-10002415,5,471.92,2,20%,29.5,4
US-2017-164763,17/03/2017,21/03/2017,4,MH-17440,208,OFF-PA-10003349,4,12.96,2,0%,6.35,4
US-2017-164763,17/03/2017,21/03/2017,4,MH-17440,208,OFF-BI-10000605,4,11.43,3,0%,5.37,4
US-2017-164763,17/03/2017,21/03/2017,4,MH-17440,208,OFF-AP-10003971,4,32.67,3,0%,8.49,4
US-2017-148838,17/03/2017,21/03/2017,4,CP-12340,55,OFF-PA-10000919,4,155.04,4,0%,75.97,2
US-2017-164763,17/03/2017,21/03/2017,4,MH-17440,208,OFF-PA-10003063,4,16,4,0%,7.68,4
US-2017-148838,17/03/2017,21/03/2017,4,CP-12340,55,OFF-PA-10002960,4,34.86,7,0%,16.38,2
CA-2017-118339,17/03/2017,24/03/2017,4,BN-11515,303,OFF-PA-10000466,7,47.18,7,0%,23.59,3
CA-2017-118339,17/03/2017,24/03/2017,4,BN-11515,303,OFF-AR-10003829,7,19.68,6,0%,5.71,3
US-2017-164763,17/03/2017,21/03/2017,4,MH-17440,208,OFF-BI-10000309,4,30.44,2,0%,14.92,4
CA-2017-118339,17/03/2017,24/03/2017,4,BN-11515,303,OFF-BI-10000136,7,35.88,6,0%,17.22,3
CA-2017-118339,17/03/2017,24/03/2017,4,BN-11515,303,OFF-AP-10001154,7,93.78,2,0%,36.57,3
CA-2017-127859,17/03/2017,20/03/2017,3,QJ-19255,81,OFF-PA-10003641,3,126.62,6,20%,41.15,2
CA-2017-158442,17/03/2017,17/03/2017,2,AZ-10750,411,OFF-AR-10003732,0,4.45,2,20%,0.33,3
CA-2017-158442,17/03/2017,17/03/2017,2,AZ-10750,411,OFF-PA-10002195,0,5.18,1,20%,1.88,3
CA-2017-158442,17/03/2017,17/03/2017,2,AZ-10750,411,OFF-PA-10002365,0,15.55,3,20%,5.44,3
US-2017-148838,17/03/2017,21/03/2017,4,CP-12340,55,FUR-TA-10003473,4,"1,579.75",7,40%,-447.59,2
US-2017-148838,17/03/2017,21/03/2017,4,CP-12340,55,FUR-TA-10001950,4,"1,071.58",4,40%,-553.65,2
US-2017-148838,17/03/2017,21/03/2017,4,CP-12340,55,FUR-TA-10004175,4,613.91,3,40%,-122.78,2
CA-2017-118339,17/03/2017,24/03/2017,4,BN-11515,303,OFF-BI-10001758,7,53.4,10,0%,25.1,3
CA-2017-145317,18/03/2017,23/03/2017,4,SM-20320,150,TEC-MA-10002412,5,"22,638.48",6,50%,"-1,811.08",4
US-2017-131275,18/03/2017,24/03/2017,4,SC-20050,531,FUR-FU-10004597,6,111,2,0%,14.43,1
US-2017-131275,18/03/2017,24/03/2017,4,SC-20050,531,OFF-ST-10000078,6,"1,856.19",7,0%,334.11,1
US-2017-131275,18/03/2017,24/03/2017,4,SC-20050,531,TEC-MA-10001148,6,"1,279.97",4,20%,415.99,1
CA-2017-145317,18/03/2017,23/03/2017,4,SM-20320,150,OFF-PA-10001804,5,21.38,4,20%,7.48,4
CA-2017-145317,18/03/2017,23/03/2017,4,SM-20320,150,FUR-FU-10004270,5,30.77,2,20%,8.08,4
CA-2017-145317,18/03/2017,23/03/2017,4,SM-20320,150,OFF-AR-10003183,5,8.02,3,20%,1,4
CA-2017-145317,18/03/2017,23/03/2017,4,SM-20320,150,OFF-FA-10003112,5,18.94,3,20%,5.92,4
CA-2017-145317,18/03/2017,23/03/2017,4,SM-20320,150,FUR-FU-10001986,5,122.35,3,20%,15.29,4
CA-2017-145317,18/03/2017,23/03/2017,4,SM-20320,150,TEC-MA-10003626,5,821.3,4,50%,-16.43,4
CA-2017-111871,18/03/2017,21/03/2017,3,EK-13795,579,FUR-BO-10004218,3,"1,198.33",10,15%,70.49,1
CA-2017-103989,19/03/2017,21/03/2017,1,MC-17605,181,TEC-AC-10002647,2,170.24,2,20%,53.2,4
CA-2017-103989,19/03/2017,21/03/2017,1,MC-17605,181,OFF-BI-10001196,2,33.57,5,70%,-25.74,4
CA-2017-103989,19/03/2017,21/03/2017,1,MC-17605,181,OFF-LA-10000443,2,11.81,4,20%,3.99,4
CA-2017-103989,19/03/2017,21/03/2017,1,MC-17605,181,TEC-PH-10004667,2,323.98,3,20%,28.35,4
CA-2017-103989,19/03/2017,21/03/2017,1,MC-17605,181,OFF-ST-10000918,2,26.16,3,20%,1.96,4
